sample	fastq_1	fastq_2	replicate	condition	treatment	time
unstim_0m	AS28_1_unstim_r1_atac_PE1.fastq.gz	AS28_1_unstim_r1_atac_PE2.fastq.gz	1	unstim_0m	unstim	0
unstim_0m	AS28_2_unstim_r2_atac_PE1.fastq.gz	AS28_2_unstim_r2_atac_PE2.fastq.gz	2	unstim_0m	unstim	0
egf_15m	AS28_3_egf_5m_r1_atac_PE1.fastq.gz	AS28_3_egf_5m_r1_atac_PE2.fastq.gz	1	egf_15m	egf	15
egf_15m	AS28_4_egf_5m_r2_atac_PE1.fastq.gz	AS28_4_egf_5m_r2_atac_PE2.fastq.gz	2	egf_15m	egf	15
egf_30m	AS28_5_egf_30m_r1_atac_PE1.fastq.gz	AS28_5_egf_30m_r1_atac_PE2.fastq.gz	1	egf_30m	egf	30
egf_30m	AS28_6_egf_30m_r2_atac_PE1.fastq.gz	AS28_6_egf_30m_r2_atac_PE2.fastq.gz	2	egf_30m	egf	30
egf_60m	AS28_7_egf_60m_r1_atac_PE1.fastq.gz	AS28_7_egf_60m_r1_atac_PE2.fastq.gz	1	egf_60m	egf	60
egf_60m	AS28_8_egf_60m_r2_atac_PE1.fastq.gz	AS28_8_egf_60m_r2_atac_PE2.fastq.gz	2	egf_60m	egf	60
egf_120m	AS28_9_egf_120m_r1_atac_PE1.fastq.gz	AS28_9_egf_120m_r1_atac_PE2.fastq.gz	1	egf_120m	egf	120
egf_120m	AS28_10_egf_120m_r2_atac_PE1.fastq.gz	AS28_10_egf_120m_r2_atac_PE2.fastq.gz	2	egf_120m	egf	120
egf_240m	AS28_11_egf_240m_r1_atac_PE1.fastq.gz	AS28_11_egf_240m_r1_atac_PE2.fastq.gz	1	egf_240m	egf	240
egf_240m	AS28_12_egf_240m_r2_atac_PE1.fastq.gz	AS28_12_egf_240m_r2_atac_PE2.fastq.gz	2	egf_240m	egf	240
hrg_15m	AS28_13_hrg_5m_r1_atac_PE1.fastq.gz	AS28_13_hrg_5m_r1_atac_PE2.fastq.gz	1	hrg_15m	hrg	15
hrg_15m	AS28_14_hrg_5m_r2_atac_PE1.fastq.gz	AS28_14_hrg_5m_r2_atac_PE2.fastq.gz	2	hrg_15m	hrg	15
hrg_30m	AS28_15_hrg_30m_r1_atac_PE1.fastq.gz	AS28_15_hrg_30m_r1_atac_PE2.fastq.gz	1	hrg_30m	hrg	30
hrg_30m	AS28_16_hrg_30m_r2_atac_PE1.fastq.gz	AS28_16_hrg_30m_r2_atac_PE2.fastq.gz	2	hrg_30m	hrg	30
hrg_60m	AS28_17_hrg_60m_r1_atac_PE1.fastq.gz	AS28_17_hrg_60m_r1_atac_PE2.fastq.gz	1	hrg_60m	hrg	60
hrg_60m	AS28_18_hrg_60m_r2_atac_PE1.fastq.gz	AS28_18_hrg_60m_r2_atac_PE2.fastq.gz	2	hrg_60m	hrg	60
hrg_120m	AS28_19_hrg_120m_r1_atac_PE1.fastq.gz	AS28_19_hrg_120m_r1_atac_PE2.fastq.gz	1	hrg_120m	hrg	120
hrg_120m	AS28_20_hrg_120m_r2_atac_PE1.fastq.gz	AS28_20_hrg_120m_r2_atac_PE2.fastq.gz	2	hrg_120m	hrg	120
hrg_240m	AS28_21_hrg_240m_r1_atac_PE1.fastq.gz	AS28_21_hrg_240m_r1_atac_PE2.fastq.gz	1	hrg_240m	hrg	240
hrg_240m	AS28_22_hrg_240m_r2_atac_PE1.fastq.gz	AS28_22_hrg_240m_r2_atac_PE2.fastq.gz	2	hrg_240m	hrg	240
